ภพฺพาภพฺเพ	 pappāpappe
วิโลกานํ	 vilokanam
อวิชฺชาปจฺจยา	 avijjāpaccayā
สงฺขารา	 sankhārā
ทุกฺขํ	 dukkham
นตฺถิ	 natthi
อชาตสฺส	 acattassa
สมุทัย	 samudaya
โสตะ	 sota
โกลังโกละ	 kolankola
เอกพีชี	 ekabīcī
อุคฆฏิตัญญู	 ukkhatitannu
วิปจิตัญญู	 vipacitannu
เนยยะ	 neyya
ปทปรมะ	 padaparama
วัฏจิต	 vattacitta
อกาลิโก	 akāliko
จาตุมฯ	 cātum
ปรนิมมิตวสวัตดี	 paranimmitavasavatti
โลกวิทู	 lokavidū
นตฺถิ ปญฺญา สมา อาภา	 natthi paññā samā ābhā
ปจฺจตฺตํ	 paccattam
ภาวนามยปัญญา	 bhāvanāmayapaññā
ตปธรรม	 tapadhamma
สันทิฏฐิโก	 santitthiko
อรูปธรรม	 arūpadhamma
ยถาภูตํ ญาณทสฺสนํ	 yathābhūtaṃ ñana dassanaṃ
ปรินิพพาน	 parinibbāna
สุทธาวาส	 suddhāvāsa
อนาคามี	 anāgāmi
อวิหา	 avihā
อตัปปา	 attappa
สุทัสสา	 sudassa
สุทัสสี	 sudassī
อกนิฏฐา	 akaniṭṭhā
﻿    ธรรม	dhamma
พุทธศักราช	buddhasakkaraṭṭha
กิเลส	kilesa
ภพ	bhava
ชาติ	jāti
นิพพาน	nibbāna
พระพุทธเจ้า	phraphutthachao (Translation of Buddha, but the direct Pali would be "Buddha")
มรรคผล	magga-phala
สาวก	sāvaka
อริยภูมิ	ariyabhūmi
อรหัตภูมิ	arahattabhūmi
ปฏิปทา	paṭipadā
สมาธิ	samādhi
วิปัสสนา	vipassanā
กัมมัฏฐาน	kammaṭṭhāna
ภาวนา	bhāvanā
ปริยัติ	pariyatti
ปัญญา	paññā
ขันธ์	khandha
อารมณ์	ārammaṇa
สังโยชน์	saṅyojana
มาร	māra
สัตว์	satta
มหา	maha
บิณฑบาต	piṇḍapāta
สวากขาต	savakkhāta
อุปสรรค	upasakka
นิมนต์	nimanta
ธรรมจักร	dhammacakka
พระธรรม	dhamma (in a respectful form)
สังขาร	saṅkhāra
วิเวก	viveka
สัมมาสัมพุทธะ	sammāsambuddha
นิมิต	nimitta
มายา	māyā
กัลยาณมิตร	kalyāṇamitta
อัญญา	aññā
สัมปัญญา	saṃpaññā
อนุสสติ	anussati
สมัครเพศ	samācāra
พยายาม	vāyāma
สติ	sati
สมาปัตติ	samāpatti
วิราก	virāga
นิโรธ	nirodha
มัคคะ	magga
อายตนะ	āyatana
พรหมวิหาร	brahmavihāra
มานะ	māna
อุเบกขา	upekkhā
สมัย	samaya
ฌาน	jhāna
ปัจจัย	paccaya
ปาฏิหาริย์	pāṭihāriya
วินัย	vinaya
สุตตันต	suttaṃta
อธิษฐาน	adhiṭṭhāna
ภิกษุ	bhikkhu
สังฆ	saṅgha
อนัตตา	anattā
ทุกข์	dukkha
อนิจจัง	aniccaṃ
เวทนา	vedanā
สัญญา	saññā
วิมุตติ	vimutti
มาตุกุตตะ	mātugāma
ปริวาร	parivāra
คัมภีร์	kamphīra (not a direct Pali word but used to refer to religious texts)
ประเวณี	pariveṇī
สมาธิ	samādhi
พระรัตนตรัย	ratanatraiya
อาสวะ	āsavā
มรณะ	maraṇa
กัลป	kappa
สังสาร	saṃsāra
กัจจัย	kaccaya
พุทธคุณ	buddhaguṇa
ธัมมคุณ	dhammaguṇa
สังฆคุณ	saṅghaguṇa
อนุปัสสิกา	anupassikā
สิลวต	sīlavata
อุปาสิกา	upāsikā
ปัญญา	paññā
สัมมาสัมโพธิ	sammāsambodhi
วิสุทธิ	visuddhi
มายา	māyā
นิวรณ์	nirodha
มานะ	māna
อุเบกขา	upekkhā
ธรรมวินัย	dhammavinaya
สังขาร	saṅkhāra
ธรรมทาน	dhammadāna
ปัญญาบารมี	paññāpāramī
ศีลบารมี	sīlapāramī
วิริยบารมี	viriyapāramī
สัมมาทิฏฐิ	sammādiṭṭhi
นิกาย	nikāya
มิตตา	mettā
การุณา	karuṇā
มุทิตา	muditā
สุขวิปัสสนา	sukhavipassanā
อานาปานสติ		ānāpānasati
สติปัฏฐาน	satipaṭṭhāna
พรหมวิหาร	brahmavihāra
อัพมาท	appamāda
ปฏิจจสมุปบาท	paṭiccasamuppāda
วิภาวะ		vipāka
กัมมันตะ	kammaṃta
สังคหวัตถุ	saṅkhāravatthu
วิปัสสนาญาณ	vipassanāñāṇa
