อ	A
อํส	Aṃsa
อํสิ	Aṃsi
อํสุ	Aṃsu
อกฏ	Akaṭa
อกมฺปิยตฺต	Akampiyatta
อกลุ	Akalu
อกาจ	Akāca
อกาจินฺ	Akācin
อกาสิ	Akāsi
อกาสิย	Akāsiya
อกิจฺจการ	Akiccakāra
อกิริย	Akiriya
อกิลาสุ	Akilāsu
อกิสฺสว	Akissava
อกุโตภย	Akutobhaya
อกุปฺป	Akuppa
อกุปฺปตา	Akuppatā
อกฺก	Akka
อกฺกนฺต	Akkanta
อกฺกนฺทติ	Akkandati
อกฺกมติ	Akkamati
อกฺกมน	Akkamana
อกฺกุฏฺฐ	Akkuṭṭha
อกฺกุล	Akkula
อกฺโกส	Akkosa
อกฺโกสก	Akkosaka
อกฺโกสติ	Akkosati
อกฺข	Akkha
อกฺขก	Akkhaka
อกฺขณ	Akkhaṇa
อกฺขต	Akkhata
อกฺขย	Akkhaya
อกฺขร	Akkhara
อกฺขริกา	Akkharikā
อกฺขาต	Akkhāta
อกฺขาตรฺ	Akkhātar
อกฺขาติ	Akkhāti
อกฺขาน	Akkhāna
อกฺขายิก	Akkhāyika
อกฺขายินฺ	Akkhāyin
อกฺขิ	Akkhi
อกฺขิก	Akkhika
อกฺขิตฺต	Akkhitta
อกฺขินฺ	Akkhin
อกฺโขพฺภ	Akkhobbha
อกฺโขภน	Akkhobhana
อกฺโขหิณี	Akkhohiṇī
อขณฺฑผุลฺล	Akhaṇḍaphulla
อขาต	Akhāta
อเขตฺต	Akhetta
อคติ	Agati
อคท	Agada
อครุ	Agaru
อคลุ	Agalu
อคาร	Agāra
อคารก	Agāraka
อคาริก	Agārika
อคารินฺ	Agārin
อคาริย	Agāriya
อคฺค	Agga
อคฺคตา	Aggatā
อคฺคตฺต	Aggatta
อคฺคลุ	Aggalu
อคฺคฬ	Aggaḷa
อคฺควนฺตฺ	Aggavant
อคฺคิ	Aggi
อคฺคิก	Aggika
อคฺฆ	Aggha
อคฺฆก	Agghaka
อคฺฆติ	Agghati
อคฺฆนก	Agghanaka
อคฺฆนิย	Agghaniya
อคฺฆาปนก	Agghāpanaka
อคฺฆาปนิย	Agghāpaniya
อคฺฆิก	Agghika
อคฺฆิย	Agghiya
อฆ	Agha
อฆต	Aghata
อฆมฺมิค	Aghammiga
อฆวินฺ	Aghavin
อโค	Ago
อโคจโร	Agocaro
อคุโณ	Aguṇo
อคฺยาคารํ	Agyāgāraṃ
องฺก	Aṅka
องฺกิต	Aṅkita
องฺกุร	Aṅkura
องฺกุส	Aṅkusa
องฺกุสก	Aṅkusaka
องฺเกติ	Aṅketi
องฺโกล	Aṅkola
องฺโกลก	Aṅkolaka
องฺค	Aṅga
องฺคณ	Aṅgaṇa
องฺคท	Aṅgada
องฺคทินฺ	Aṅgadin
องฺคาร	Aṅgāra
องฺคารก	Aṅgāraka
องฺคาริก	Aṅgārika
องฺคารินฺ	Aṅgārin
องฺคิก	Aṅgika
องฺคินฺ	Aṅgin
องฺคุฏฺฐ	Aṅguṭṭha
องฺคุฏฺฐก	Aṅguṭṭhaka
องฺคุล	Aṅgula
องฺคุลิก	Aṅgulika
องฺคุลี	Aṅgulī
องฺคุเลยฺยก	Aṅguleyyaka
อจงฺกม	Acaṅkama
อจิตฺตก	Acittaka
อจิตฺติกต	Acittikata
อจิร	Acira
อเจล	Acela
อเจลก	Acelaka
อจฺจฺ	Acc-
อจฺจคา	Accagā
อจฺจงฺกุส	Accaṅkusa
อจฺจตริ	Accatari
อจฺจติ	Accati
อจฺจนฺต	Accanta
อจฺจย	Accaya
อจฺจสร	Accasara
อจฺจสรา	Accasarā
อจฺจสริ	Accasari
อจฺจสารินฺ	Accasārin
อจฺจหสิ	Accahasi
อจฺจาภิกฺขณ	Accābhikkhaṇa
อจฺจายต	Accāyata
อจฺจายิก	Accāyika
อจฺจารทฺธ	Accāraddha
อจฺจาวทติ	Accāvadati
อจฺจาสนฺน	Accāsanna
อจฺจหิต	Accahita
อจฺฉิ	Acchi
อจฺจิกา	Accikā
อจฺจิต	Accita
อจฺจิ-พนฺธ	Acci-bandha
อจฺจิพนฺธ	Acci-bandha
อจฺจิมนฺตฺ	Accimant
อจฺจุคฺคจฺฉติ	Accuggacchati
อจฺจุคฺคต	Accuggata
อจฺจุณฺห	Accuṇha
อจฺจุต	Accuta
อจฺจุปฏฺฐเปติ	Accupaṭṭhapeti
อจฺจุปฺปติ	Accuppati
อจฺจุสฺสนฺน	Accussanna
อจฺเจก	Acceka
อจฺเจติ	Acceti
อจฺโจคาฬฺห	Accogāḷha
อจฺโจทก	Accodaka
อจฺโจทร	Accodara
อจฺฉ	Accha
อจฺฉก	Acchaka
อจฺฉติ	Acchati
อจฺฉนฺน	Acchanna
อจฺฉมฺภินฺ	Acchambhin
อจฺฉรา	Accharā
อจฺฉริก	Accharika
อจฺฉริย	Acchariya
อจฺฉาทน	Acchādana
อจฺฉาทนา	Acchādanā
อจฺฉาเทติ	Acchādeti
อจฺฉิชฺช	Acchijja
อจฺฉิทฺท	Acchidda
อจฺฉินฺทติ	Acchindati
อจฺฉินฺน	Acchinna
อจฺฉิว	Acchiva
อจฺฉุเปติ	Acchupeti
อจฺเฉจฺฉิ	Acchecchi
