นิวยอร์ก	new-yɔ̂ɔk
ค	khɔɔ
พ	phɔɔ
ตะ	tà
สมิธ	sa-mít
ไนล่อน	nai-lɔ̀ɔn
ศ	sɔ̌ɔ
เยอรมัน	yəə-ra-man
ยน	yon
มกรา	ma-ka-raa
สุริวงศ์	sù-rí-wong
โคโลราโด	khoo-loo-raa-doo
คนที่	khon thîi
กว่านี้	kwàa níi
กะโปรง	kà-proong
กุมภา	kum-phaa
แก	kɛɛ
ขวบ	khùap
แคปปิตอล	khɛɛ-pì-tɔɔn
จอร์จ	cɔ̀ɔt
จอห์น	cɔ̀ɔn
จัซแม็ก	càt-mɛ́k
จิม	cim
เจนนี่	ceen-nîi
โจ	coo
ชาว	chaaw
ชื้	chúu
ใช่	chây
ณัฐชานันท์	nát-chaa-nan
ด็อกเตอร์	dɔ̀k-təə
ดา	daa
ดิ๊ก	dìk
ดิชั้น	dì-chán
ดีด	dìit
ดีน	diin
เดนเวอร์	deen-wəə
เดวิด	dee-wít
ตะเช้า	tà-cháaw
เตหะราน	tee-hà-raan
ท็อป	thóp
ทอม	thɔɔm
ที่	thîi
โท	thoo
โทมัส	thoo-mát
โทรมา	thoo maa
ธันวา	than-waa
นงค์ลักษณ์	nong-lák
นานาภัณฑ์	naa-naa-phan
นิวเดลี	niw-dee-lii
นิวยอร์ค	niw-yɔ̂ɔk
นี่	nîi
ไนลอน	nai-lɔ̀ɔn
บก	bòk
บราวน์	braaw
บอกว่า	bɔ̀ɔk wâa
บอสตัน	bɔ̀ɔt-tan
บิลล์	bin
แบ๊งค์	bɛ́ɛng
โบว์ลิ่ง	boo-líng
ปาร์คเกอร์	pàak-kəə
ผิด	phìt
พฤศจิกา	phrʉ́t-sa-cì-kaa
พฤษภา	phrʉ́t-sa-phaa
พลาซ่า	phlaa-sâa
พหลโยธิน	pha-hǒn-yoo-thin
พัฒน์พงษ์	phát-phong
พันธ์	phan
พิชัย	phí-chay
พิมภา	phim-phaa
เพนซิลวาเนีย	phen-sin-waa-nia
เพนตากอน	phen-taa-kɔɔn
เพรสฃิเด้นท์	phrêet-sí-dên
ฟลอริดา	flɔɔ-rí-daa
ฟอร์ด	fɔɔt
เฟร็ด	frét
มกรา	ma-ka-raa
มลายู	ma-la-yuu
มอนเทอเรย์	mɔɔn-thəə-ree
มะลิ	má-lí
มะลิกา	má-lí-kaa
คอมันตร์	khɔɔ-man
มิชชั่น	mít-chân
มิตสุ	mít-sù
มิถุนา	mí-thù-naa
มิสซิส	mít-sít
มิสเตอร์	mít-təə
แบ๊งค์	bɛ́ɛng
เมษา	mee-sǎa
แมรี่	mɛɛ-rîi
แมสซาชูเซตส์	mɛ̂ɛt-saa-chuu-sêet
ไม่สนุก	mây-sa-nùk
ยี่สิบ	yîi-sìp
ยู	yuu
ยูซอม	yuu-sɔɔm
ยูซิส	yuu-sít
เยล	yeen
ร่วมฤดี	rûam-rʉ́-dii
รัสค์	rát
ราชดำริ	râat-dam-rí
รึ	rʉ́
โรม	room
ละครับ	lá-khráp
ลักส์	lák
ลิโด้	lí-dôo
ลิฟท์	líp
ลึ	lʉ́
เล็คเชอร์	lék-chəə
แล็บ	lɛ́p
วิชัย	wí-chay
เวสต์	wêet
เวอร์จิเนีย	wəə-cì-nia
เวียดนาม	wîat-naam
ไวท์	wai
สนุก	sa-nùk
สปริงฟีลด์	sa-pring-fiin
สปอร์ต	sa-pɔ̀ɔt
สวิส	sa-wìt
สหรัฐ	sa-ha-rát
สาธร	sǎa-thɔɔn
สิ	sì
สี่	sìi
สุขุมวิท	sù-khǔm-wít
หนังคิงส์	nǎng-khing
หนา	nǎa
หนามาก	nǎa mâak
หลือ	lʉ̌ʉ̌
หอม ลักส์	hɔ̌ɔm lák
อนุโรจน์	a-nú-rôot
อะพาร์ตเมนต์	à-pháat-méen
อมรินทร์	a-ma-rin
อเมริกัน	a-mee-rí-kan
อเมริกา	a-mee-rí-kaa
อังรีดูนังต์	ang-rii-duu-nang
อัมพร	am-phɔɔn
อัมรินทร์	a-ma-rin
อาร์	aa
อาร์ซีเอ	aa-sii-ee
อารีย์	aa-rii
อินเตอร์	in-təə
อิมพิเรียล	im-phí-rian
อื่น	ʉ̀ʉn
อุบล	ʉ̀-bon
เอ	ee
เอ็กซ์	èk
เอเธนส์	ee-then
เอฟ	èep
เอฟ	èep
เอส	èet
ไอ	ai
เอราวัณ	ee-raa-wan
เออ	əə
สาม	sǎam
แอปเปิ้ล	ɛ̀ɛp-pə̂ən
แอร์	ɛɛ
ฟรานซ์	fraan
โอกินาวา	oo-kì-naa-waa
โอเรียนเต็ล	oo-rian-ten
โอ้ว	ôow
ไอเบ็ก	ai-bèk
ไอปานา	ai-paa-maa
!!!!	!!!!
เยือก	yʉ̂ak
ผู้	phûu
ฝอก	fɔ̌ɔk
เศรษฐการ	sèet-​tha-​kaan
คลินิค	khli-ník
ประ	prà
แก๊ซ	kɛ́ɛt
เยื้อง	yʉ́ang
ราสเบอร์รี่	râat-bəə-rîi
รับประทาร	ráp-prà-thaan
สวาด	sa-wàat
ดคี	khá-dii
แสด	sɛ̀ɛt
เหลือง	lʉ̌ang
สปริง	sa-pring
โอ	oo
ยื้อยุด	yʉ́ʉ-yút
ยุยง	yú-yong
ยุแยงตะแคงรั่ว	yú-yɛɛng-tà-khɛɛng-rûa
ยุแยง	yú-yɛɛng
ยุแหย่	yú-yɛ̀ɛ
ยุ่ย	yûy
ยุ้ย	yúy
อยู่ยืด	yùu-yʉ̂ʉt
อยู่โยง	yùu-yoong
อยู่ยงคงกระพัน	yùu-yong-khong-krà-phan
ยู่ยี่	yûu-yîi
อยู่เหย้าเฝ้าเรือน	yùu-yâw-fâw-rʉan
อยู่ยาม	yùu-yaam
ยูวี	yuu-wii
อยู่เวร	yùu-ween
อยู่ตัว	yùu-tua
อยู่ท้อง	yùu-thɔ́ɔng
อยู่ร่วม	yùu-rûam
อยู่รอด	yùu-rɔ̂ɔt
ยูพีเอส	yuu-phii-éet
ยูนิเซฟ	yuu-ní-séep
อยู่งาน	yùu-ngaan
ยูง	yuung
ยูเนสโก	yuu-néet-koo
อยู่ในเส้นทาง	yùu-nay-sên-thaang
อยู่ในเกณฑ์	yùu-nay-keen
อยู่ไม่สุข	yùu-mây-sùk
อยู่หมัด	yùu-màt
อยู่มือ	yùu-mʉʉ
หยูกยา	yùuk-yaa
อยู่กิน	yùu-kin
อยู่กับที่	yùu-kàp-thîi
อยู่กรรม	yùu-kam
อยู่ห่างๆ	yùu-hàang-hàang
อยู่ไฟ	yùu-fay
ยูเอ็น	yuu-en
ยูเอชที	yuu-éet-thii
ยูเอฟโอ	yuu-éep-oo
อยู่ดีกินดี	yùu-dii-kin-dii
อยู่ดีๆ	yùu-dii-dii
อยู่อาศัย	yùu-aa-sǎy
อยู่	yùu
หยุดยั้ง	yùt-yáng
ยุทธวิธี	yút-tha-wí-thii
ยุทธศาสตร์	yút-tha-sàat
ยุทธการ	yút-tha-kaan
หยุดพัก	yùt-phák
หยุดปัญหา	yùt-pan-hǎa
หยุดนิ่ง	yùt-nîng
หยุดงาน	yùt-ngaan
หยุดกึก	yùt-kʉ̀k
ยุติธรรม	yú-tì-tham
ยุติปัญหา	yú-tì-pan-hǎa
ยุติ	yú-tì
หยุดชั่วคราว	yùt-chûa-khraaw
หยุดชะงัก	yùt-chá-ngák
หยุด	yùt
ยุด	yút
ยุโรปตะวันตก	yú-ròop-tà-wan-tòk
ยุโรปตะวันออก	yú-rôop-tà-wan-ɔ̀ɔk
ยุโรป	yú-ròop
ยุบยับ	yúp-yáp
ยุบตัว	yúp-tua
ยุบสภา	yúp-sa-phaa
ยุบ	yúp
ยุ่งยิ่ง	yûng-yîng
ยุ่งเหยิง	yûng-yə̌əng
ยุ่งยาก	yûng-yâak
ยุงลาย	yung-laay
ยุงก้นปล่อง	yung-kôn-plɔ̀ng
ยุ่งเกี่ยว	yûng-kìaw
ยุ้งข้าว	yúng-khâaw
ยุ้งฉาง	yúng-chǎang
ยุ่ง	yûng
ยุ้ง	yúng
ยุง	yung
หยุมหยิม	yǔm-yǐm
ยุ่มย่าม	yûm-yâam
หยุกหยิก	yùk-yìk
ยุคสมัย	yúk-sa-mǎy
ยุคปัจจุบัน	yúk-pàt-cù-ban
ยุคมืด	yúk-mʉ̂ʉt
ยุคใหม่	yúk-mày
ยุคก่อนประวัติศาสตร์	yúk-kɔ̀ɔn-prà-wàt-sàat
ยุคเก่า	yúk-kàw
ยุคหิน	yúk-hǐn
ยุค	yúk
ยั่วยวนใจ	yûa-yuan-cay
ยั่วยวน	yûa-yuan
ยั่วยุ	yûa-yú
ยั้วเยี้ย	yûa-yía
ยั่วเย้า	yûa-yáw
ย้วย	yûay
ยวดยง	yûat-yong
ยวดยิ่ง	yûat-yîng
ยวดยาน	yûat-yaan
ยวด	yûat
ยวบๆ	yûap-yûap
ยวบยาบ	yûap-yâap
ยวบ	yûap
ยวนยี	yuan-yii
ยวง	yuang
ญวน	yuan
ยั่วโมโห	yûa-moo-hǒo
ยั่วใจ	yûa-cay
ยั้ว	yûa
ยั่ว	yûa
ยุ	yú
ยืดหยุ่น	yʉ̂ʉt-yùn
ยืดยาว	yʉ̂ʉt-yaaw
ยืดยาด	yʉ̂ʉt-yaat
ยืดเยื้อ	yʉ̂ʉt-yʉ́a
ยืดเวลา	yʉ̂ʉt-wee-laa
ยึดติด	yʉ́t-tìt
ยึดถือ	yʉ́t-thʉ̌ʉ
ยึดทรัพย์	yʉ́t-sáp
ยึดเหนี่ยว	yʉ́t-nìaw
ยึดมั่น	yʉ́t-mân
ยึดหลัก	yʉ́t-làk
ยึดครอง	yʉ́t-khrɔɔng
ยึดอำนาจ	yʉ́t-am-nâat
ยืดอายุ	yʉ̂ʉt-aa-yú
ยืด	yʉ̂ʉt
ยึด	yʉ́t
ย่อยยับ	yɔ̂y-yáp
เยาะเย้ย	yɔ́-yə́əy
เหยาะแหยะ	yɔ̀-yɛ̀
เหยาะย่าง	yɔ̀-yâang
ย่อย	yɔ̂y
หยอย	yɔ̌y
หยดย้อย	yòt-yɔ́ɔy
ยศอย่าง	yót-yàang
ยศศักดิ์	yót-sàk
หยดน้ำ	yòt-náam
หยด	yòt
ยศ	yót
ยธ	yót
ย่อหย่อน	yɔ̂ɔ-yɔ̀n
ย่อย่น	yɔ̂ɔ-yôn
ย่อแหยง	yɔ̂ɔ-yɛ̌ɛng
ย่อแย่	yɔ̂ɔ-yɛ̂ɛ
โยเย	yoo-yee
ย้อย	yɔ́ɔy
ยอดเยี่ยม	yɔ̂ɔt-yîam
ยอดสร้อย	yɔ̂ɔt-sɔ̂y
ยอดรวม	yɔ̂ɔt-ruam
ยอดรัก	yɔ̂ɔt-rák
ยอดนิยม	yɔ̂ɔt-ní-yom
ยอดเงิน	yɔ̂ɔt-ngən
ยอดน้ำ	yɔ̂ɔt-nám
ยอดไม้	yɔ̂ɔt-máy
ยอดเขา	yɔ̂ɔt-khǎw
ยอดขาย	yɔ̂ɔt-khǎay
ยอดการขาย	yɔ̂ɔt-kaan-khǎay
ย่อท้อ	yɔ̂ɔ-thɔ́ɔ
ยอดฮิต	yɔ̂ɔt-hít
ยอดด้วน	yɔ̂ɔt-dûan
ยอดดี	yɔ̂ɔt-dii
ยอดจั่ว	yɔ̂ɔt-cùa
ยอดจำหน่าย	yɔ̂ɔt-cam-nàay
ยอด	yɔ̂ɔt
หยอด	yɔ̀ɔt
ย่อส่วน	yɔ̂ɔ-sùan
ยอแสง	yɔɔ-sɛ̌ɛng
ยอบแยบ	yɔ̂ɔp-yɛ̂ɛp
ย่อพล	yɔ̂ɔ-phon
ยอบ	yɔ̂ɔp
ย้อนยอก	yɔ́ɔn-yɔ̂ɔk
โยนทิ้ง	yoon-thíng
ย้อนถาม	yɔ́ɔn-thǎam
ย้อนรอย	yɔ́ɔn-rɔɔy
ย้อนหลัง	yɔ́ɔn-lǎng
ย้อนกลับ	yɔ́ɔn-klàp
โยนความผิด	yoon-khwaam-phìt
โยนี	yoo-nii
ยองๆ	yɔɔng-yɔɔng
โย่งเย่ง	yôong-yêeng
ยองใย	yɔɔng-yay
โยงใย	yoong-yay
ย้อง	yɔ́ɔng
ยอง	yɔɔng
โย่ง	yôong
โหย่ง	yòong
โยง	yoong
ย่อหน้า	yɔ̂ɔ-nâa
ย้อน	yɔ́ɔn
หยอน	yɔ̌ɔn
ยอน	yɔɔn
โยน	yoon
ย่อมุม	yɔ̂ɔ-mum
ยอมตาม	yɔɔm-taam
ย้อมสี	yɔ́ɔm-sǐi
ยอมสยบ	yɔɔm-sa-yòp
ยอมรับผิด	yɔɔm-ráp-phìt
ยอมรับ	yɔɔm-ráp
ยอมแพ้	yɔɔm-phɛ́ɛ
ยอมความ	yɔɔm-khwaam
ยอมให้	yɔɔm-hây
ย้อมใจ	yɔ́ɔm-cay
ยอมจำนน	yɔɔm-cam-non
ย้อม	yɔ́ɔm
ยอม	yɔɔm
โยม	yoom
ยอกย้อน	yɔ̂ɔk-yɔ́ɔn
โยกเยก	yôok-yêek
โหยกเหยก	yòok-yèek
หยอกเย้า	yɔ̀ɔk-yáw
โยกย้าย	yook-yáay
หยอกล้อ	yɔ̀ɔk-lɔ́ɔ
โยกโคลง	yôok-khloong
ย่อความ	yɔ̂ɔ-khwaam
โยคี	yoo-khii
ย่อเข่า	yɔ̂ɔ-khàw
หยอกเอิน	yɔ̀ɔk-əən
ยอก	yɔ̂ɔk
หยอก	yɔ̀ɔk
โยก	yôok
ย่อ	yɔ̂ɔ
ยอ	yɔɔ
โย้	yóo
ย่นย่อ	yôn-yɔ̂ɔ
หย่อนยาน	yɔ̀n-yaan
ย่นเวลา	yôn-wee-laa
ยงยุทธ์	yong-yút
ยงโย่	yong-yôo
ย่องแย่ง	yɔ̂ng-yɛ̂ng
ย่องกริบ	yɔ̂ng-krìp
ย่องเบา	yɔ̂ng-baw
ย่อง	yɔ̂ng
หย่อง	yɔ̀ng
หย็อง	yɔ̌ng
โหยง	yǒong
หย่ง	yòng
หย่อนใจ	yɔ̀n-cay
หย่อนอารมณ์	yɔ̀n-aa-rom
หย่อน	yɔ̀n
ย่น	yôn
ยล	yon
ย่อมๆ	yɔ̂m-yɔ̂m
หยอมแหยม	yɔ̌m-yɛ̌m
หย็อมแหย็ม	yɔ̌m-yɛ̌m
ย่อมเยา	yɔ̂m-yaw
ยมทูต	yom-ma-thûut
ยมทัณฑ์	yom-ma-than
ยมราช	yom-ma-râat
ยมนา	yom-ma-naa
ยมโลก	yom-ma-lôok
ยมบาล	yom-ma-baan
ย่อม	yɔ̂m
หย่อม	yɔ̀m
ยม	yom
ยกยอด	yók-yɔ̂ɔt
ยกยอ	yók-yɔɔ
ยกย่องนับถือ	yók-yɔ̂ng-náp-thʉ̌ʉ
ยกย่องชมเชย	yók-yɔ̂ng-chom-chəəy
ยกย่อง	yók-yɔ̂ng
หยกๆ	yòk-yòk
ย็อกแย็ก	yɔ́k-yɛ́k
ยกใหญ่	yók-yày
ยกเว้น	yók-wéen
ยกไว้	yók-wáy
ยกตัวอย่างเช่น	yók-tua-yàang-chên
ยกตัวอย่าง	yók-tua-yàang
ยกตัว	yók-tua
ยกตนข่มท่าน	yók-ton-khòm-thân
ยกโทษให้	yók-thôot-hây
ยกโทษ	yók-thôot
ยกธงขาว	yók-thong-khǎaw
ยกธง	yók-thong
ยกทัพ	yók-tháp
ยกฐานะ	yók-thǎa-ná
ยกทรง	yók-song
ยกระดับ	yók-rá-dàp
ยกพวก	yók-phûak
ยกพล	yók-phon
ยกพื้น	yók-phʉ́ʉn
ยกนิ้วให้	yók-níw-hây
ยกนิ้ว	yók-níw
ยกน้ำหนัก	yók-nám-nàk
ยกเมฆ	yók-mêek
ยกมือ	yók-mʉʉ
ยกเลิก	yók-lə̂ək
ยกกระบัตร	yók-krà-bàt
ยกครู	yók-khruu
ยกเครื่อง	yók-khrʉ̂ang
ยกขึ้น	yók-khʉ̂n
ยกโขยง	yók-kha-yǒong
ยกเค้า	yók-kháw
ยกแก้ว	yók-kɛ̂ɛw
ยกกำลัง	yók-kam-lang
ยกฟ้อง	yók-fɔ́ɔng
ยก	yók
เยาะ	yɔ́
เหยาะ	yɔ̀
ยืนยง	yʉʉn-yong
ยืนหยัด	yʉʉn-yàt
ยืนยัน	yʉʉn-yan
ยืนยาว	yʉʉn-yaaw
ยื่นซองขาว	yʉ̂ʉn-sɔɔng-khǎaw
ยื่นเสนอ	yʉ̂ʉn-sa-nə̌ə
ยืนนาน	yʉʉn-naan
ยื่นมือ	yʉ̂ʉn-mʉʉ
ยืนกราน	yʉʉn-kraan
ยื่นคำร้อง	yʉ̂ʉn-kham-rɔ́ɔng
ยื่นคำขาด	yʉ̂ʉn-kham-khàat
ยื่น	yʉ̂ʉn
ยืน	yʉʉn
ยืม	yʉʉm
ยึกยัก	yʉ́k-yák
ยึกยือ	yʉ́k-yʉʉ
ยิว	yiw
หยิบโหย่ง	yìp-yòong
หยิบหย่ง	yìp-yòng
หยิบยก	yìp-yók
หยิบยื่น	yìp-yʉ̂ʉn
หยิบยืม	yìp-yʉʉm
ยิบๆ	yíp-yíp
ยิบตา	yíp-taa
หยิบฉวย	yìp-chǔay
หยิบ	yìp
ยิบ	yíp
ญิบ	yíp
ยินยอมพร้อมใจ	yin-yɔɔm-phrɔ́ɔm-cay
ยินยอม	yin-yɔɔm
ยิ่งยวด	yîng-yûat
ยิ่งหย่อน	yîng-yɔ̀n
ยิ่งใหญ่	yîng-yày
หยิ่งยโส	yìng-ya-sǒo
หยิ่งยะโส	yìng-yá-sǒo
หญิงโสด	yǐng-sòot
หญิงสาว	yǐng-sǎaw
ยิงปืน	ying-pʉʉn
หยิ่งผยอง	yìng-pha-yɔɔng
ยิ่งไปกว่านั้น	yîng-pay-kwàa-nán
หยิ่งในศักดิ์ศรี	yìng-nay-sàk-sǐi
ยิ่งนัก	yîng-nák
ยิ่งกว่านั้น	yîng-kwàa-nán
ยิ่งกว่า	yîng-kwàa
ยิงกราด	ying-kràat
ยิ่งขึ้นไป	yîng-khʉ̂n-pay
ยิ่งขึ้น	yîng-khʉ̂n
ยิงคำถาม	ying-kham-thǎam
หญิงขายบริการ	yǐng-khǎay-bɔɔ-rí-kaan
หญิงหากิน	yǐng-hǎa-kin
หญิง	yǐng
ยิ่ง	yîng
หยิ่ง	yìng
ยิง	ying
ยินดี	yin-dii
หยิมๆ	yǐm-yǐm
ยิ้มแย้มแจ่มใส	yím-yɛ́ɛm-cɛ̀m-sǎy
ยิ้มแย้ม	yím-yɛ́ɛm
ยิ้มแป้น	yím-pɛ̂n
ยิ้มแฉ่ง	yím-chɛ̀ng
ยิ้ม	yím
หยิกหยอง	yìk-yɔ̌ng
หยิกงอ	yìk-ngɔɔ
หยิกแกมหยอก	yìk-kɛɛm-yɔ̀ɔk
หยิก	yìk
ยียวน	yii-yuan
ยีสต์	yíit
ญี่ปุ่น	yîi-pùn
ยี่เก	yîi-kee
ยี่ห้อ	yîi-hɔ̂ɔ
หยี	yǐi
ยี้	yíi
ยี	yii
เยียวยา	yiaw-yaa
เหยี่ยวข่าว	yìaw-khàaw
เยี่ยว	yîaw
เยียดยัด	yîat-yát
เหยียดหยัน	yìat-yǎn
เหยียดยาว	yìat-yaaw
เหยียดหยาม	yìat-yǎam
เหยียดผิว	yìat-phǐw
เหยียด	yìat
เหยียบย่ำ	yìap-yâm
เหยียบย่าง	yìap-yâang
เหยียบคันเร่ง	yìap-khan-rêng
เหยียบจมูก	yìap-ca-mùuk
เหยียบ	yìap
เยี่ยงอย่าง	yîang-yàang
เยี่ยง	yîang
เยี่ยมยอด	yîam-yɔ̂ɔt
เยี่ยมเยียน	yîam-yian
เยี่ยมเยือน	yîam-yʉan
เยี่ยม	yîam
เยอะแยะ	yə́-yɛ́
เย็บผ้า	yép-phâa
เย็บปักถักร้อย	yép-pàk-thàk-rɔ́ɔy
เย็บปาก	yép-pàak
เย็บเล่ม	yép-lêm
เย็บ	yép
เย็นย่ำ	yen-yâm
เย็นสบาย	yen-sa-baay
แหย่ง	yɛ̀ng
เย็นเจี๊ยบ	yen-cíap
เย็นเฉียบ	yen-chìap
เย็นฉ่ำ	yen-chàm
เย็นชา	yen-chaa
เย็น	yen
เย้ยหยัน	yə́əy-yǎn
เย่อหยิ่ง	yə̂ə-yìng
เย้ย	yə́əy
แยแส	yɛɛ-sɛ̌ɛ
เยอรมนี	yəə-ra-má-nii
แยบยล	yɛ̂ɛp-yon
เยินยอ	yəən-yɔɔ
แย่งตำแหน่ง	yɛ̂ɛng-tam-nɛ̀ng
แย้งกันอยู่ในตัว	yɛ́ɛng-kan-yùu-nay-tua
แย่งชิง	yɛ̂ɛng-ching
แย้ง	yɛ́ɛng
แย่ง	yɛ̂ɛng
แหยง	yɛ̌ɛng
แยง	yɛɛng
เหยง	yěeng
เยิน	yəən
แย้มพราย	yɛ́ɛm-phraay
แย่มาก	yɛ̂ɛ-mâak
แย้ม	yɛ́ɛm
แหยม	yɛ̌ɛm
แยม	yɛɛm
แยกย่อย	yɛ̂ɛk-yɔ̂y
แยกแยะ	yɛ̂ɛk-yɛ́
แยกย้าย	yɛ̂ɛk-yáay
แยกตัว	yɛ̂ɛk-tua
แยกทาง	yɛ̂ɛk-thaang
แยกส่วน	yɛ̂ɛk-sùan
แยกเรือน	yɛ̂ɛk-rʉan
แยกร่าง	yɛ̂ɛk-râang
แยกประเภท	yɛ̂ɛk-prà-phêet
แยกกัน	yɛ̂ɛk-kan
เหยเก	yěe-kee
แยกจาก	yɛ̂ɛk-càak
แยก	yɛ̂ɛk
แย่	yɛ̂ɛ
แหย่	yɛ̀ɛ
แหย	yɛ̌ɛ
เหย	yěe
เย้	yée
แยะ	yɛ́
แหยะ	yɛ̀
เยอะ	yə́
ใหญ่โตมโหฬาร	yày-too-ma-hǒo-laan
ใหญ่โต	yày-too
ไยไพ	yay-phay
ใยแมงมุม	yay-mɛɛng-mum
ใหญ่หลวง	yày-lǔang
ใยแก้ว	yay-kɛ̂ɛw
ไยดี	yay-dii
เยื่อใย	yʉ̂a-yay
ยะเยือก	yá-yʉ̂ak
ใหญ่	yày
ใย	yay
เย้ายวนใจ	yáw-yuan-cay
เย้ายวน	yáw-yuan
เย้าหยอก	yáw-yɔ̀ɔk
เย้าแหย่	yáw-yɛ̀ɛ
เยาวชน	yaw-wa-chon
เหย้าเรือน	yâw-rʉan
เย้า	yáw
ยัดเยียด	yát-yîat
ยัติภังค์	yát-tì-phang
ญัตติ	yát-tì
ยติภังค์	ya-tì-phang
ยถากรรม	ya-thǎa-kam
ยัดห่า	yát-hàa
หยัด	yàt
ยัด	yát
ยโสธร	ya-sǒo-thɔɔn
ยโส	ya-sǒo
ยับยู่ยี่	yáp-yûu-yîi
ยับย่อย	yáp-yɔ̂y
ยับเยิน	yáp-yəən
ยับยั้งชั่งใจ	yáp-yáng-châng-cay
ยับยั้ง	yáp-yáng
ยับ	yáp
ยรรยง	yan-yong
ยัญพิธี	yan-ya-phí-thii
ยัญกรรม	yan-ya-kam
ยันตรกรรม	yan-tra-kam
ยันเต	yan-tee
ยั่งยืน	yâng-yʉʉn
เยื้องยัก	yʉ́ang-yák
เยื้องย่าง	yʉ́ang-yâang
หยั่งถึง	yàng-thʉ̌ng
หยั่งท่าที	yàng-thâa-thii
หยั่งเสียง	yàng-sǐang
หยั่งทราบ	yàng-sâap
หยั่งรู้	yàng-rúu
หยั่งราก	yàng-râak
ยังผล	yang-phǒn
ยังงี้	yang-ngíi
ยังไง	yang-ngay
ยังงั้น	yang-ngán
หยั่งลึก	yàng-lʉ́k
เยื้องกราย	yʉ́ang-kraay
หยั่งความคิดเห็น	yàng-khwaam-khít-hěn
ยังคง	yang-khong
ยั้งคิด	yáng-khít
ยังกับ	yang-kàp
ยังกะ	yang-kà
หยั่งดูท่าที	yàng-duu-thâa-thii
ยังชีพ	yang-chîip
หยั่งเชิง	yàng-chəəng
ยั้งใจ	yáng-cay
หยั่ง	yàng
ยั้ง	yáng
ยัง	yang
หยัน	yǎn
ยั่น	yân
เยือน	yʉan
ยัน	yan
ยัญ	yan
ยันต์	yan
ย่ำยี	yâm-yii
ย่ำเท้า	yâm-tháaw
ย่ำรุ่ง	yâm-rûng
หยำเป	yǎm-pee
ยมล	ya-mon
ยมก	ya-mók
ยำเกรง	yam-kreeng
ย้ำคิดย้ำทำ	yám-khít-yám-tham
ย่ำค่ำ	yâm-khâm
ย่ำ	yâm
ย้ำ	yám
ยำ	yam
ยะลา	yá-laa
ยักยอก	yák-yɔ̂ɔk
ยักยิ้ม	yák-yím
เยือกเย็น	yʉ̂ak-yen
ยักแย่ยักยัน	yák-yɛ̂ɛ-yák-yan
หยักไย่	yàk-yây
ยักเยื้อง	yák-yʉ́ang
ยักย้ายถ่ายเท	yák-yáay-thàay-thee
ยักย้าย	yák-yáay
ยักท่า	yák-thâa
หยักศก	yàk-sòk
ยักษิณี	yák-sì-nii
หยักรั้ง	yàk-ráng
เยื่อกระดาษ	yʉ̂a-krà-dàat
ยักหล่ม	yák-lòm
ยักไหล่	yák-lày
ยักกระสาย	yák-krà-sǎay
ยักคิ้วหลิ่วตา	yák-khíw-lìw-taa
ยักขินี	yák-khì-nii
เยื่อเคย	yʉ̂a-khəəy
หยัก	yàk
ยัก	yák
ยักษ์	yák
ยักข์	yák
เหยือก	yʉ̀ak
ย้ายถิ่น	yáay-thìn
ย้ายที่	yáay-thîi
ย้าย	yáay
ยาย	yaay
ยาวเหยียด	yaaw-yìat
ยาวนาน	yaaw-naan
ยาวิเศษ	yaa-wí-sèet
ยาว	yaaw
