ก
กฏัตตากรรม	Kañattākamma
กฐิน	Kañhina
กตเวที	Katavedī
กตัญญุตา	Kataññutā
กตัญญู	Kataññū
กตัญญูกตเวทิตา	Kataññūkataveditā
กตัญญูกตเวที	Kataññūkatavedī
กตัตตากรรม ดู กฏัตตากรรม
กถาวัตถุ	Kathāvatthu
กรมการศาสนา	Sāsanādhikāra*
กรรม	Kamma
กรรมกิเลส	Kammakilesa
กรรมฐาน	Kammaññhāna
กรรมนิยาม	Kammaniyāma
กรรมบถ	Kammapatha
กรรมภพ	Kammabhava
กรรมวาจา	Kammavācā
กรรมวาจาจารย์	Kammavācācariya
กรวดนํ้ า, การ	Dakkhiṇodakapātana
กระถางธูป	Dhūpabhājana*
กระทู้	Nikkhepapada
กราน	Attharati
กราบ	Abhivāda
กรุณา	Karuṇā
กลด1	Mahāchatta
กลด2	Dussakuñikā
กลละ	Kalala
กษัตริย์	Khattiya
กสิณ	Kasiṇa
กังขา	Kaṅkhā
กัณฑ์	Kaṇóa
กัณฑ์เทศน์	Dhammadesanāpūjā*, Dhammakathikadeyya*
กัป, กัปป์, กัลป์	Kappa
กัปปพินทุ	Kappabindu
กัปปิยการก	Kappiyakāraka
กัมม- ดู กรรม-.
กัลปนา	Kappanā
กัลยาณมิตตตา	Kalyāṇamittatā
กาม	Kāma
กามคุณ	Kāmaguṇa
กามฉันท์	Kāmachanda
กามตัณหา	Kāmataṇhā
กามภพ	Kāmabhava
กามราคะ	Kāmarāga
กามโลก	Kāmaloka
กามวิตก	Kāmavitakka
กามสังวร	Kāmasaṁvara
กามสุข	Kāmasukha
กามสุขัลลิกานุโยค	Kāmasukhallikānuyoga
กามาวจร	Kāmāvacara
กามาวจรภูมิ	Kāmāvacarabhūmi
กามุปาทาน	Kāmupādāna
กาเมสุมิจฉาจาร	Kāmesumicchācāra
กาย	Kāya
กายกรรม	Kāyakamma
กายคตาสติ	Kāyagatāsati
กายทวาร	Kāyadvāra
กายทุจริต	Kāyaduccarita
กายวิญญัติ	Kāyaviññatti
กายวิญญาณ	Kāyaviññāṇa
กายวิเวก	Kāyaviveka
กายสังขาร	Kāyasaṅkhāra
กายสัมผัส	Kāyasamphassa
กายสุจริต	Kāyasucarita
กายานุปัสสนา	Kāyānupassanā
กายิกทุกข์	Kāyikadukkha
กายิกสุข	Kāyikasukha
การเปรียญ	Dhammasālā
กาลมรณะ	Kālamaraṇa
กาลัญญุตา	Kālaññutā
กาสาวพัสตร์	Kāsāya, Kāsāvavattha
กำเนิด ดู โยนิ.
กำแพงแก้ว	Ratanapākāra
กิงฺกรณีเยสุ ทกฺขตา	Kiṅkaraṇīyesu dakkhatā
กิจจาธิกรณ์	Kiccādhikaraṇa
กิจวัตร	Kiccavatta*
กิริยาจิต	Kiriyācitta
กิเลส	Kilesa
กิเลสกาม	Kilesakāma
กุกกุจจะ	Kukkucca
กุฎี	Kuñī
กุลุปกะ	Kulupaka
กุศล	Kusala
กุศลกรรม	Kusalakamma
กุศลกรรมบถ	Kusalakammapatha
กุศลจิต	Kusalacitta
กุศลเจตนา	Kusalacetanā
กุศลมูล	Kusalamūla
กุศลวิตก	Kusalavitakka
กุหนา	Kuhanā
เกตุมาลา	Ketumālā
เกิดใหม่ ดู ชาติหน้า.
โกธะ, โกรธ	Kodha
โกศ	Kosa*
โกสัชชะ	Kosajja
ข
ขณะจิต	Cittakkhaṇa
ขณิกสมาธิ	Khaṇikasamādhi
ขณิกาปีติ	Khaṇikāpīti
ขมา	Khamā
ขมา, การขอ	Khamāpana
ของขลัง	Parittavatthu, Indajālikavatthu*
ขัดสมาธิ	Pallaṅkaṁ ābhujati
ขันติ	Khanti
ขันธ์	Khandha
ขันธ์ห้า ดู เบญจขันธ์.
ข้างขึ้น	Juṇha-pakkha, Sukka-~
ข้างแรม	Kaṇha-pakkha, Kāḷa-~
ขาทนียะ	Khādanīya
